ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3,svi_zeros_pct
MELK3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9984,0.9985,0.9985,0.1839
MERC4,95,0.0351,0.9579,4.2105,2.8883,0.9606,0.0,0.9906,1.0221,1.0241,0.9808
MGEL4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9959,0.9963,0.9963,0.9808
MGLU3,95,2.4096,0.247,74.7368,9.9406,0.7935,16.8421,0.9431,0.8505,0.9522,0.0
MILS3,95,0.0151,0.9254,0.0,0.0498,0.9596,0.0,0.976,0.9735,0.9741,0.1226
MNDL3,95,0.0019,0.9915,0.0,0.0,1.0,0.0,0.9729,0.956,0.9553,0.9885
MNPR3,95,0.0279,0.9902,0.0,0.3578,0.9815,0.0,0.9813,0.9879,0.9828,0.9425
MOVI3,95,1.1642,0.4,60.0,12.0574,0.8526,14.7368,0.8326,0.8544,0.7695,0.0
MRSA5B,95,0.0,1.0,0.0,0.0,1.0,0.0,0.984,1.0117,1.0117,0.9962
MRVE3,95,0.2568,0.8947,10.5263,5.5819,0.9341,4.2105,0.9833,0.9798,0.9069,0.0
MTRE3,95,0.0284,0.9895,1.0526,0.0,1.0,0.0,0.9902,0.9885,0.9907,0.0613
MTSA4,95,0.0805,0.4173,1.0526,6.8058,0.3233,0.0,0.6165,0.634,0.6207,0.9579
MULT3,95,0.0054,0.9752,0.0,0.2936,0.8469,13.6842,0.9329,0.9341,0.938,0.023
MWET4,95,0.6958,0.8632,13.6842,0.0,1.0,0.0,0.9813,0.9561,0.9808,0.9425
MYPK3,95,0.0363,0.9579,4.2105,0.0,1.0,0.0,0.9899,0.9837,0.9904,0.0153
NEOE3,95,0.0079,0.9684,3.1579,0.0,1.0,0.0,0.9959,0.9971,0.997,0.0153
NEXP3,95,0.6756,0.4217,25.2632,1.0251,0.8598,2.1053,0.9983,1.0663,1.1041,0.8736
NGRD3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9721,0.968,0.968,0.1073
NUTR3,95,0.0,0.9998,0.0,0.0,0.9998,0.0,0.9783,0.978,0.9779,0.9847
ODPV3,95,0.0114,0.9745,0.0,0.0753,0.9273,1.0526,0.9444,0.9347,0.9466,0.0728
OFSA3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9947,0.994,0.994,0.9272
OIBR3,95,1.0281,0.7684,23.1579,23.1579,0.7684,23.1579,0.9582,0.9758,0.9355,0.0
OIBR4,95,1.2006,0.6211,37.8947,16.8827,0.6316,36.8421,0.8882,0.9344,0.9183,0.0383
OPCT3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9844,0.9845,0.9845,0.2375
ORVR3,95,0.0132,0.9481,0.0,0.1223,0.8639,2.1053,0.9586,0.9556,0.9558,0.6628
OSXB3,95,1.1356,0.4897,43.1579,2.5514,0.6448,25.2632,0.9831,0.9705,0.966,0.7931
PATI3,95,0.2802,0.6289,9.4737,3.502,0.6658,12.6316,0.9169,0.9351,0.9033,0.9732
PATI4,95,2.8332,0.0868,90.9091,6.4857,0.8595,0.0,0.7797,0.7566,0.7825,0.9962
PCAR3,95,0.5342,0.9158,8.4211,1.0411,0.9895,1.0526,0.9911,0.7381,0.6695,0.0
PDGR3,95,0.1289,0.9789,2.1053,0.0,1.0,0.0,0.961,0.9981,0.9967,0.0038
PDTC3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9973,0.9975,0.9975,0.6054
PEAB3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9192,0.9157,0.9157,0.9885
PEAB4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9949,0.9851,0.9851,0.9808
PETR3,95,0.5834,0.3263,67.3684,0.7218,0.9582,4.2105,0.9334,0.8905,0.9111,0.0
PETR4,95,0.8824,0.2526,74.7368,1.0553,0.9474,5.2632,0.9316,0.9606,0.8965,0.0
PFRM3,95,0.0931,0.7421,21.0526,0.1901,0.8498,13.6842,0.7184,0.7609,0.7561,0.6398
PGMN3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9967,0.9963,0.9963,0.0192
PINE3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9964,1.2488,1.2488,0.9732
PINE4,95,0.5571,0.0985,89.4737,0.8105,0.7619,23.1579,0.9035,0.8209,0.8859,0.069
PLAS3,95,0.0636,0.0525,33.3333,0.4183,0.7435,0.0,0.9178,0.8901,0.8856,0.9885
PLPL3,95,0.0132,0.9895,1.0526,0.0,1.0,0.0,0.9957,0.9885,0.9957,0.0307
PMAM3,95,0.1123,0.9579,4.2105,0.1247,0.9895,1.0526,0.9444,0.9436,0.9481,0.0421
PNVL3,95,0.0557,0.7602,22.1053,0.269,0.8423,15.7895,0.9656,0.9633,0.9362,0.1264
